,coverage,customer,customer_lifetime_value,date,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy,policy_type,renew_offer_type,response,sales_channel,state,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
25,Extended,AY59197,9521.222806,2011-01-24,College,1/24/11,Employed,M,27769,Rural,Married,121,24.0,78,0.0,6,Special L3,Special Auto,Offer4,No,Agent,Nevada,123.15416,SUV,Small,A,January
26,Basic,XF15789,8869.619888,2011-02-21,College,2/21/11,Employed,F,81350,Rural,Married,110,1.0,28,0.0,9,Personal L3,Personal Auto,Offer3,No,Branch,Arizona,228.185834,SUV,Large,A,February
28,Basic,CI99444,2926.886293,2011-02-22,College,2/22/11,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special L2,Special Auto,Offer2,No,Call Center,Nevada,234.774747,Four-Door Car,Medsize,A,February
30,Premium,GX19342,8491.465719,2011-01-28,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal L3,Personal Auto,Offer1,No,Branch,California,1193.115879,Four-Door Car,Large,A,January
32,Premium,OJ63606,5776.338737,2011-01-28,High School or Below,1/28/11,Medical Leave,F,27510,Suburban,Married,159,5.0,28,3.0,1,Corporate L3,Corporate Auto,Offer1,No,Call Center,Arizona,871.457982,SUV,Small,A,January
39,Extended,XD72019,8470.043225,2011-02-19,Bachelor,2/19/11,Unemployed,F,0,Suburban,Single,82,1.0,13,0.0,2,Personal L2,Personal Auto,Offer2,No,Web,Oregon,479.312226,Four-Door Car,Large,A,February
40,Basic,RR93140,2880.348532,2011-01-05,College,1/5/11,Employed,F,81565,Urban,Married,71,19.0,54,0.0,1,Personal L2,Personal Auto,Offer2,No,Branch,California,190.642833,Four-Door Car,Medsize,A,January
42,Extended,PV62583,9799.175061,2011-01-03,College,1/3/11,Medical Leave,M,22166,Suburban,Married,126,10.0,22,0.0,6,Personal L3,Personal Auto,Offer1,No,Web,Nevada,604.8,SUV,Medsize,A,January
43,Basic,BL12371,5790.565333,2011-02-03,Master,2/3/11,Employed,M,84551,Rural,Divorced,72,10.0,82,0.0,5,Personal L3,Personal Auto,Offer2,No,Agent,Arizona,28.92584,Four-Door Car,Large,A,February
45,Basic,RI22468,5745.94334,2011-01-22,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30.0,87,3.0,9,Personal L1,Personal Auto,Offer3,No,Web,Arizona,269.905129,Four-Door Car,Medsize,A,January
48,Extended,UY32623,3593.12645,2011-02-05,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate L2,Corporate Auto,Offer1,No,Branch,California,460.8,Four-Door Car,Large,A,February
49,Extended,QV30663,9863.502214,2011-02-28,Master,2/28/11,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal L3,Personal Auto,Offer3,No,Call Center,Nevada,272.788141,SUV,Medsize,A,February
50,Basic,MS94619,5111.304579,2011-02-13,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal L3,Personal Auto,Offer3,No,Web,California,302.4,Four-Door Car,Medsize,A,February
55,Extended,XQ74827,19435.62924,2011-02-01,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special L3,Special Auto,Offer1,No,Agent,Arizona,2294.631639,Luxury Car,Medsize,A,February
57,Premium,GB43363,6870.607058,2011-01-24,College,1/24/11,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal L3,Personal Auto,Offer1,No,Branch,Oregon,756.0,Four-Door Car,Small,A,January
60,Basic,IQ95180,5651.396772,2011-01-19,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal L3,Personal Auto,Offer1,No,Branch,Oregon,396.035334,Four-Door Car,Small,A,January
61,Basic,JX52708,4556.068318,2011-02-14,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal L3,Personal Auto,Offer2,No,Call Center,California,302.4,Two-Door Car,Medsize,A,February
64,Basic,WL24392,5860.16743,2011-02-01,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal L1,Personal Auto,Offer1,No,Agent,Arizona,41.464402,Four-Door Car,Medsize,A,February
66,Basic,UO54511,4950.250892,2011-01-20,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal L1,Personal Auto,Offer3,No,Agent,California,302.4,Four-Door Car,Medsize,A,January
68,Basic,NY12562,2224.089639,2011-01-05,College,1/5/11,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate L2,Corporate Auto,Offer2,No,Branch,Nevada,483.25721,Four-Door Car,Medsize,A,January
69,Extended,QG27547,2867.312197,2011-01-03,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Call Center,Oregon,374.4,Four-Door Car,Medsize,A,January
71,Extended,LO37570,12157.5413,2011-01-07,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal L3,Personal Auto,Offer3,No,Agent,Arizona,369.6,Four-Door Car,Medsize,A,January
78,Extended,LN28900,14687.07959,2011-02-23,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal L1,Personal Auto,Offer1,No,Web,California,612.0,Four-Door Car,Small,A,February
80,Basic,VM85555,7750.120323,2011-02-23,College,2/23/11,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal L2,Personal Auto,Offer3,No,Branch,California,33.718553,Four-Door Car,Medsize,A,February
82,Basic,FR48094,2456.816127,2011-02-15,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal L3,Personal Auto,Offer4,No,Branch,Arizona,525.6,Four-Door Car,Small,A,February
85,Basic,CH50584,32474.76977,2011-01-22,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal L3,Personal Auto,Offer4,No,Call Center,Oregon,734.4,SUV,Small,A,January
90,Basic,KO86181,6941.872931,2011-02-11,College,2/11/11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,532.8,SUV,Small,A,February
95,Basic,NB81923,7294.492993,2011-02-24,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal L3,Personal Auto,Offer1,No,Call Center,Washington,733.737214,Sports Car,Medsize,A,February
98,Extended,PK23339,3417.953745,2011-01-25,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,Arizona,370.018108,Four-Door Car,Medsize,A,January
101,Basic,UV12583,4700.583771,2011-02-18,College,2/18/11,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal L1,Personal Auto,Offer4,No,Agent,California,561.6,SUV,Medsize,A,February
102,Basic,VG56765,2471.528431,2011-01-15,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal L2,Personal Auto,Offer2,Yes,Agent,Arizona,114.273025,Two-Door Car,Medsize,A,January
103,Extended,AK11669,10130.93442,2011-01-17,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate L3,Corporate Auto,Offer3,No,Branch,Arizona,408.0,Two-Door Car,Medsize,A,January
105,Extended,MS87381,23866.15656,2011-02-14,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal L2,Personal Auto,Offer3,No,Branch,California,388.8,Four-Door Car,Medsize,A,February
110,Basic,HB48073,9371.773682,2011-02-01,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate L2,Corporate Auto,Offer1,No,Agent,Arizona,497.719213,SUV,Medsize,A,February
113,Basic,EC28398,5096.673223,2011-01-28,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate L2,Corporate Auto,Offer1,Yes,Agent,Oregon,312.0,Four-Door Car,Small,A,January
114,Premium,FE99816,15563.36944,2011-01-19,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal L1,Personal Auto,Offer3,No,Web,Nevada,1214.4,Luxury Car,Medsize,A,January
115,Basic,HS39343,7475.784971,2011-01-26,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate L3,Corporate Auto,Offer1,No,Agent,Washington,534.653787,Luxury Car,Medsize,A,January
117,Extended,EF84269,5568.656492,2011-02-21,College,2/21/11,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal L2,Personal Auto,Offer1,No,Web,California,236.739322,SUV,Medsize,A,February
118,Basic,RD22761,20579.69157,2011-01-16,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal L3,Personal Auto,Offer3,No,Call Center,Washington,566.673518,Four-Door Car,Medsize,A,January
119,Extended,DO41287,8276.44416,2011-02-18,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal L2,Personal Auto,Offer3,No,Branch,Oregon,590.4,Four-Door Car,Medsize,A,February
122,Basic,EW33419,15114.40241,2011-01-19,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate L2,Corporate Auto,Offer2,Yes,Call Center,California,480.0,SUV,Medsize,A,January
123,Basic,KH16079,4709.52218,2011-02-12,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal L1,Personal Auto,Offer1,No,Agent,Washington,470.576119,Four-Door Car,Small,A,February
129,Basic,ZM45168,2398.354197,2011-02-14,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,423.823547,Four-Door Car,Medsize,A,February
134,Basic,BP28492,4834.710493,2011-01-31,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate L3,Corporate Auto,Offer2,Yes,Call Center,Arizona,316.8,Four-Door Car,Medsize,A,January
137,Extended,GS85403,9031.214859,2011-02-23,Master,2/23/11,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate L2,Corporate Auto,Offer1,Yes,Branch,Washington,650.52179,Sports Car,Medsize,A,February
138,Extended,SK95364,4620.390087,2011-02-26,College,2/26/11,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal L2,Personal Auto,Offer3,No,Agent,California,936.0,SUV,Medsize,A,February
139,Basic,UI80897,5552.596353,2011-02-27,High School or Below,2/27/11,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate L2,Corporate Auto,Offer4,No,Call Center,Washington,377.498287,Two-Door Car,Large,A,February
141,Basic,WP64059,5093.379714,2011-01-06,Bachelor,1/6/11,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal L1,Personal Auto,Offer3,No,Call Center,California,167.037619,Two-Door Car,Medsize,A,January
142,Basic,IP52990,16794.31422,2011-02-24,High School or Below,2/24/11,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal L3,Personal Auto,Offer2,No,Web,Oregon,368.890904,SUV,Medsize,A,February
143,Extended,VF36700,24278.10167,2011-02-26,Master,2/26/11,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,451.751555,Four-Door Car,Medsize,A,February
144,Extended,NR16284,7462.926263,2011-01-28,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal L3,Personal Auto,Offer2,Yes,Call Center,California,7.345946,Two-Door Car,Small,A,January
146,Basic,XX53620,2891.272351,2011-02-02,Bachelor,2/2/11,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate L3,Corporate Auto,Offer4,No,Branch,Oregon,134.158389,Four-Door Car,Small,A,February
152,Extended,AZ64856,5048.051359,2011-02-17,High School or Below,2/17/11,Employed,F,34452,Suburban,Married,126,2.0,51,0.0,1,Personal L1,Personal Auto,Offer4,No,Agent,California,604.8,SUV,Large,A,February
153,Basic,SA88518,7737.265103,2011-01-19,College,1/19/11,Employed,F,50296,Rural,Married,65,26.0,62,1.0,2,Personal L2,Personal Auto,Offer1,No,Call Center,Oregon,46.804,Two-Door Car,Medsize,A,January
156,Basic,MW48891,8007.399376,2011-01-02,High School or Below,1/2/11,Unemployed,F,0,Suburban,Divorced,112,12.0,93,0.0,3,Personal L3,Personal Auto,Offer1,Yes,Web,Washington,537.6,Sports Car,Medsize,A,January
159,Basic,KX55910,4957.033603,2011-01-15,College,1/15/11,Employed,F,62803,Suburban,Married,62,16.0,12,0.0,5,Personal L3,Personal Auto,Offer2,No,Web,Oregon,400.959425,Two-Door Car,Small,A,January
161,Extended,QB47024,5898.733666,2011-02-17,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5.0,38,5.0,8,Personal L3,Personal Auto,Offer1,No,Call Center,Washington,414.519064,Four-Door Car,Medsize,A,February
165,Basic,JL70559,5310.861767,2011-02-02,College,2/2/11,Unemployed,F,0,Suburban,Married,72,17.0,11,1.0,3,Personal L1,Personal Auto,Offer1,No,Branch,Arizona,345.6,Four-Door Car,Small,A,February
166,Basic,TW73441,2773.455358,2011-01-26,High School or Below,1/26/11,Employed,F,73478,Urban,Married,68,2.0,38,0.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,Nevada,241.88878,Four-Door Car,Medsize,A,January
167,Basic,PZ47901,5504.139033,2011-02-08,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate L3,Corporate Auto,Offer1,Yes,Call Center,Arizona,350.4,Four-Door Car,Medsize,A,February
171,Basic,HX74855,2471.528431,2011-01-15,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Agent,Washington,114.273025,Two-Door Car,Medsize,A,January
173,Premium,CV40610,12313.16484,2011-01-17,College,1/17/11,Unemployed,M,0,Suburban,Single,116,7.0,57,0.0,2,Personal L1,Personal Auto,Offer1,No,Call Center,California,835.2,Two-Door Car,Medsize,A,January
174,Extended,MV69686,3982.180708,2011-01-03,Doctor,1/3/11,Employed,F,38500,Urban,Married,99,26.0,49,1.0,1,Corporate L2,Corporate Auto,Offer1,No,Agent,Oregon,423.286512,Four-Door Car,Large,A,January
175,Basic,IB67546,8237.037945,2011-01-17,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13.0,34,0.0,7,Personal L3,Personal Auto,Offer1,No,Call Center,California,513.6,SUV,Small,A,January
180,Extended,IG89777,7356.559341,2011-01-09,High School or Below,1/9/11,Employed,M,81145,Urban,Married,92,34.0,92,0.0,8,Corporate L2,Corporate Auto,Offer2,No,Call Center,California,321.060571,Two-Door Car,Large,A,January
182,Basic,FL82372,8672.194272,2011-01-26,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7.0,60,0.0,3,Corporate L3,Corporate Auto,Offer1,No,Agent,Oregon,537.6,SUV,Medsize,A,January
185,Basic,DR84620,8071.334962,2011-02-07,Bachelor,2/7/11,Employed,M,72149,Rural,Married,101,18.0,43,0.0,6,Personal L2,Personal Auto,Offer2,No,Call Center,California,69.310166,SUV,Medsize,A,February
188,Basic,QQ25666,14510.7505,2011-01-25,High School or Below,1/25/11,Employed,M,60120,Urban,Married,182,30.0,21,0.0,6,Personal L3,Personal Auto,Offer2,No,Branch,Arizona,716.469391,Luxury Car,Medsize,A,January
191,Basic,YU79270,4633.336334,2011-01-15,College,1/15/11,Medical Leave,M,27132,Suburban,Single,63,32.0,59,1.0,4,Personal L1,Personal Auto,Offer1,No,Branch,Arizona,302.4,Four-Door Car,Medsize,A,January
194,Basic,KC22636,5488.931031,2011-02-17,High School or Below,2/17/11,Employed,F,33881,Rural,Married,68,11.0,83,0.0,9,Personal L3,Personal Auto,Offer2,No,Web,California,65.659137,Four-Door Car,Large,A,February
195,Extended,SO43919,14228.23432,2011-01-16,Bachelor,1/16/11,Employed,M,31650,Suburban,Married,121,25.0,17,0.0,2,Personal L3,Personal Auto,Offer1,No,Branch,California,580.8,SUV,Medsize,A,January
197,Basic,WW30771,2673.319593,2011-02-13,Master,2/13/11,Employed,M,28728,Suburban,Married,67,8.0,10,0.0,1,Personal L3,Personal Auto,Offer4,No,Branch,Arizona,321.6,Four-Door Car,Small,A,February
198,Basic,BL29046,5332.462694,2011-02-22,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Corporate L2,Corporate Auto,Offer2,Yes,Branch,Oregon,309.577946,Four-Door Car,Medsize,A,February
199,Extended,LN50325,10064.60828,2011-02-03,High School or Below,2/3/11,Employed,F,20440,Suburban,Married,128,11.0,54,2.0,9,Corporate L3,Corporate Auto,Offer3,No,Branch,Arizona,614.4,Sports Car,Medsize,A,February
203,Basic,SZ70655,4293.009593,2011-01-31,College,1/31/11,Unemployed,F,0,Suburban,Single,61,18.0,15,0.0,8,Corporate L3,Corporate Auto,Offer1,No,Agent,California,292.8,Two-Door Car,Large,A,January
204,Basic,QP69826,3567.503755,2011-01-07,Bachelor,1/7/11,Unemployed,M,0,Suburban,Married,102,28.0,11,0.0,1,Corporate L2,Corporate Auto,Offer2,Yes,Agent,Arizona,660.430456,SUV,Medsize,A,January
209,Basic,CM78608,5823.162917,2011-01-31,High School or Below,1/31/11,Employed,F,88359,Rural,Divorced,73,1.0,49,0.0,9,Personal L3,Personal Auto,Offer2,No,Call Center,California,35.915639,Two-Door Car,Medsize,A,January
212,Extended,UX91266,3484.141641,2011-01-10,Bachelor,1/10/11,Employed,M,34307,Rural,Divorced,92,33.0,62,2.0,1,Personal L3,Personal Auto,Offer1,No,Call Center,California,186.025014,Four-Door Car,Medsize,A,January
213,Basic,WO53546,34039.05613,2011-01-28,College,1/28/11,Unemployed,M,0,Suburban,Divorced,104,26.0,66,0.0,2,Personal L3,Personal Auto,Offer2,No,Agent,Oregon,499.2,Sports Car,Medsize,A,January
214,Basic,ZX85480,7995.441263,2011-01-02,High School or Below,1/2/11,Employed,F,66685,Rural,Married,67,35.0,50,2.0,2,Personal L2,Personal Auto,Offer2,No,Call Center,Washington,38.763897,Two-Door Car,Large,A,January
216,Basic,QJ22057,4454.104455,2011-02-22,College,2/22/11,Unemployed,F,0,Suburban,Single,68,5.0,72,1.0,3,Personal L3,Personal Auto,Offer1,No,Branch,Nevada,326.4,Four-Door Car,Large,A,February
217,Basic,FZ79470,5395.346288,2011-02-24,Bachelor,2/24/11,Unemployed,F,0,Suburban,Married,74,13.0,30,0.0,4,Personal L2,Personal Auto,Offer3,No,Web,Arizona,355.2,Four-Door Car,Medsize,A,February
219,Basic,VE64781,2927.07045,2011-02-14,Bachelor,2/14/11,Employed,F,75685,Suburban,Married,73,35.0,47,0.0,1,Personal L3,Personal Auto,Offer2,No,Agent,Arizona,369.918482,Four-Door Car,Small,A,February
221,Basic,UB51030,6582.450781,2011-02-15,High School or Below,2/15/11,Unemployed,F,0,Suburban,Single,62,3.0,44,0.0,2,Special L3,Special Auto,Offer1,No,Agent,Washington,297.6,Four-Door Car,Medsize,A,February
223,Basic,IE36279,2844.849804,2011-02-06,Bachelor,2/6/11,Employed,M,80306,Suburban,Divorced,71,11.0,12,0.0,1,Corporate L1,Corporate Auto,Offer3,No,Call Center,California,340.8,Two-Door Car,Medsize,A,February
227,Premium,BW80872,4434.411172,2011-01-13,High School or Below,1/13/11,Employed,M,34549,Rural,Married,111,8.0,78,0.0,1,Personal L2,Personal Auto,Offer2,No,Web,Washington,125.933005,Four-Door Car,Medsize,A,January
229,Extended,EP29567,7031.463693,2011-01-24,Master,1/24/11,Retired,M,16224,Suburban,Married,93,13.0,55,0.0,9,Corporate L1,Corporate Auto,Offer3,No,Web,Washington,498.452698,Four-Door Car,Medsize,A,January
230,Basic,AX70794,2449.31771,2011-02-04,High School or Below,2/4/11,Employed,M,47122,Suburban,Single,62,6.0,77,0.0,1,Personal L2,Personal Auto,Offer2,No,Branch,California,297.6,Two-Door Car,Medsize,A,February
231,Basic,NJ46849,2504.444752,2011-01-09,College,1/9/11,Unemployed,M,0,Suburban,Single,69,23.0,15,0.0,1,Personal L2,Personal Auto,Offer2,No,Branch,Arizona,496.8,Four-Door Car,Medsize,A,January
232,Basic,WH20102,9095.049868,2011-01-11,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal L2,Personal Auto,Offer2,Yes,Call Center,California,556.8,SUV,Medsize,A,January
233,Basic,QO86948,8071.65295,2011-02-18,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,112,3.0,84,0.0,7,Personal L3,Personal Auto,Offer1,No,Web,Nevada,806.4,SUV,Small,A,February
234,Basic,DN14211,15032.9003,2011-01-17,College,1/17/11,Medical Leave,M,17150,Suburban,Married,65,28.0,19,0.0,2,Personal L2,Personal Auto,Offer1,No,Agent,Oregon,689.800891,Two-Door Car,Medsize,A,January
236,Premium,YJ16163,11009.13049,2011-01-24,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Special L3,Special Auto,Offer2,Yes,Agent,Oregon,1358.4,Luxury Car,Medsize,A,January
240,Premium,LH26563,4550.856045,2011-02-08,High School or Below,2/8/11,Disabled,F,17913,Suburban,Married,116,0.0,39,0.0,1,Personal L3,Personal Auto,Offer3,No,Web,Oregon,556.8,Four-Door Car,Small,A,February
243,Basic,LE65901,4434.941371,2011-02-20,Bachelor,2/20/11,Employed,F,58082,Rural,Married,112,31.0,66,1.0,1,Personal L3,Personal Auto,Offer1,No,Call Center,Oregon,103.022126,SUV,Medsize,A,February
246,Basic,MR60878,15762.53198,2011-02-15,Bachelor,2/15/11,Employed,F,44362,Rural,Married,66,15.0,75,0.0,2,Corporate L3,Corporate Auto,Offer2,No,Call Center,Oregon,142.113373,Four-Door Car,Small,A,February
247,Premium,CY45848,4273.587765,2011-01-30,Bachelor,1/30/11,Employed,F,82214,Rural,Married,106,11.0,19,1.0,1,Personal L1,Personal Auto,Offer3,No,Branch,Oregon,239.143671,Four-Door Car,Medsize,A,January
250,Premium,HH30454,32654.8383,2011-02-23,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,153,7.0,75,0.0,2,Personal L3,Personal Auto,Offer3,No,Branch,Oregon,1101.6,SUV,Medsize,A,February
253,Basic,NI18835,2927.734329,2011-02-15,Bachelor,2/15/11,Employed,M,51991,Rural,Married,73,4.0,95,0.0,1,Personal L3,Personal Auto,Offer2,No,Web,California,124.376921,Four-Door Car,Medsize,A,February
257,Basic,NL75739,7590.050089,2011-01-02,High School or Below,1/2/11,Disabled,M,10375,Suburban,Married,66,10.0,95,0.0,2,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,316.8,Two-Door Car,Medsize,A,January
258,Basic,RF94484,4605.036646,2011-01-28,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Corporate L3,Corporate Auto,Offer2,Yes,Web,Oregon,302.4,Four-Door Car,Large,A,January
263,Extended,TK38732,4873.350518,2011-02-18,High School or Below,2/18/11,Employed,M,47824,Urban,Married,129,8.0,56,3.0,1,Personal L2,Personal Auto,Offer4,No,Agent,Oregon,546.046853,SUV,Medsize,A,February
264,Basic,FI86516,4786.054889,2011-01-26,Bachelor,1/26/11,Unemployed,F,0,Suburban,Single,68,4.0,67,0.0,9,Corporate L1,Corporate Auto,Offer1,No,Agent,Oregon,489.6,Four-Door Car,Small,A,January
266,Basic,BS90503,5395.091602,2011-02-15,Bachelor,2/15/11,Employed,F,86640,Rural,Married,67,2.0,25,0.0,5,Personal L1,Personal Auto,Offer2,No,Web,Washington,65.457366,Four-Door Car,Medsize,A,February
267,Basic,AG39150,2356.074955,2011-02-04,Bachelor,2/4/11,Unemployed,M,0,Suburban,Married,63,22.0,94,0.0,1,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,302.4,Four-Door Car,Medsize,A,February
271,Extended,MU76701,3921.018919,2011-01-20,College,1/20/11,Employed,F,62445,Suburban,Married,98,19.0,12,1.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,Washington,681.167228,Four-Door Car,Small,A,January
272,Basic,JH73503,20171.96154,2011-02-01,Doctor,2/1/11,Employed,M,24804,Suburban,Married,73,19.0,98,0.0,2,Personal L2,Personal Auto,Offer3,No,Call Center,Arizona,350.4,Two-Door Car,Small,A,February
273,Basic,JC38573,5528.212807,2011-01-19,Bachelor,1/19/11,Employed,M,36088,Suburban,Single,72,16.0,31,0.0,9,Corporate L3,Corporate Auto,Offer1,Yes,Agent,Oregon,345.6,Four-Door Car,Medsize,A,January
